mc_run_id,grouping,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
207,meat 100+_male_50-59,9.231579582,13.65145637,21047.32462,43.67229242,2.324671516,0.602084449,275.2018467,997.0869433,38.65685988,2.292260669,4.13089416,5519.359738,10.76379953,0.788235022,0.175398535,102.3768615,393.3237281,9.664465772,591,male,meat100,50-59
207,meat 100+_male_60-69,9.072138885,13.55173037,21460.06519,42.39240425,2.331728881,0.594907906,282.4359045,1002.99474,38.63437361,2.057467463,3.974169067,5746.527938,10.28889812,0.742427037,0.151291724,94.63782586,410.6011366,8.663367336,543,male,meat100,60-69
207,meat 100+_male_70-79,9.451616175,14.50396088,21877.81802,44.10230629,2.484974,0.607775838,291.343058,1003.587142,38.80916157,2.409355964,5.240157761,5385.477179,11.90981377,0.945225509,0.149486921,93.59231659,353.8248239,9.413691679,168,male,meat100,70-79
207,meat50-99_female_20-29,6.358782677,8.060437397,18181.20009,32.28188659,1.260547827,0.424427214,225.763605,950.2747985,30.13882779,1.623053096,2.173740398,6338.905951,8.599120561,0.417073614,0.102263676,96.42722506,463.2658267,8.042560185,669,female,meat,20-29
207,meat50-99_female_30-39,6.429867482,8.294942107,18266.83387,32.02245084,1.312496673,0.413076716,226.6500275,930.0915937,30.69989503,1.517555795,2.198680744,6134.948966,7.650084156,0.417931334,0.095219094,86.9665011,453.2813043,7.538944248,1350,female,meat,30-39
207,meat50-99_female_40-49,6.627391444,8.698052756,18101.22375,32.15421997,1.381393041,0.413655767,230.9454168,914.5506784,31.23020336,1.599772445,2.324803745,5845.975946,7.691067059,0.43578497,0.094730858,88.90624973,428.1911505,7.827871932,2710,female,meat,40-49
207,meat50-99_female_50-59,6.649113115,8.718373849,18547.95713,31.54657356,1.39210111,0.411117417,230.9629771,912.2769998,31.40201271,1.590011818,2.416292257,5733.858261,7.494030618,0.454818575,0.091263477,88.44444109,408.8505329,7.709739154,2682,female,meat,50-59
207,meat50-99_female_60-69,6.664496557,8.732734918,19025.52915,31.03717355,1.384531381,0.413978525,233.6167147,954.4684423,31.86709484,1.578930497,2.378548937,5788.973319,7.343491967,0.434177104,0.094839465,89.04729694,443.8728462,7.617511696,1456,female,meat,60-69
207,meat50-99_female_70-79,6.612291126,9.085300647,19604.44341,30.76208909,1.424395117,0.424440781,244.9556266,918.7808433,31.354755,1.559126444,2.667191723,6486.353653,6.914145175,0.48375751,0.10051389,95.52157516,392.2453473,7.524644846,450,female,meat,70-79
207,meat50-99_male_20-29,6.839154658,8.680320929,18332.22034,34.06210646,1.350498422,0.439904585,241.4922115,988.6834917,31.82730523,1.701842651,2.220913153,6316.970782,8.252300312,0.408346192,0.103362013,102.1205259,538.9353091,8.804529299,151,male,meat,20-29
207,meat50-99_male_30-39,6.961530774,9.015906935,18423.33591,34.1620475,1.417125056,0.444744744,251.7750455,979.0665535,32.89522948,1.766187506,2.348742261,6704.984132,8.457801984,0.454822184,0.106353888,98.54957519,564.5925907,9.023537031,304,male,meat,30-39
207,meat50-99_male_40-49,6.945213816,9.314515138,17201.17583,33.09437362,1.446437117,0.427507121,242.9976181,860.3058611,31.96323341,1.663666926,2.444867297,4983.458956,7.475544482,0.436033485,0.098169696,94.052516,393.8800313,7.758529836,663,male,meat,40-49
207,meat50-99_male_50-59,6.966804404,9.164676083,17545.75264,32.89828707,1.440590084,0.4166049,238.0544382,920.5373159,32.07719366,1.721254953,2.496456032,5127.67861,7.96026088,0.464607727,0.095072793,88.71655711,500.0930001,8.022442491,671,male,meat,50-59
207,meat50-99_male_60-69,6.941838909,9.35674047,17770.51809,32.35293395,1.465305222,0.411349031,245.4341482,915.2571996,32.13072368,1.585388668,2.428346457,5567.041909,7.527905458,0.43765724,0.093168885,89.27799843,421.8020507,7.787809173,634,male,meat,60-69
207,meat50-99_male_70-79,6.987960198,9.669743244,18042.64096,32.28690459,1.529855562,0.418291421,249.6235053,870.5496162,31.48258592,1.5977727,2.684095256,5202.873535,6.969413709,0.511934444,0.091635233,86.47191387,392.5353122,7.32354522,231,male,meat,70-79
207,vegan_female_20-29,2.287127243,3.701305043,13592.22323,13.54215546,0.111922382,0.188229904,83.71622587,326.8785686,10.75212711,0.881163202,1.264687068,8487.693493,5.750603242,0.1111847,0.067228438,48.44322541,173.975791,4.397403498,487,female,vegan,20-29
207,vegan_female_30-39,2.383193006,3.904310085,14648.28405,13.29358393,0.121112341,0.19393484,91.58924523,342.2142236,11.13906283,0.867716836,1.29601566,8944.528032,5.306455495,0.132585384,0.070810017,53.27661323,186.5335201,4.160897107,376,female,vegan,30-39
207,vegan_female_40-49,2.458685671,4.140287145,16402.98252,13.16616676,0.140642453,0.201113315,92.93082628,368.0736423,11.91562842,1.034267385,1.432898493,12552.48604,5.404867633,0.165824346,0.083192606,55.14756432,225.9037467,5.11172528,219,female,vegan,40-49
207,vegan_female_50-59,2.364470435,4.054338797,14572.31527,12.33009024,0.108195022,0.196869598,90.54040683,332.7782018,11.53760217,0.957589321,1.47558354,7324.988444,4.622592137,0.110258323,0.079627876,49.24044712,154.030396,5.047812506,106,female,vegan,50-59
207,vegan_female_60-69,2.431053797,4.365076813,15158.96375,11.87052075,0.116392165,0.192958801,94.21756688,349.5163827,11.75786077,1.005707525,1.7606688,7678.85408,4.643867276,0.151386247,0.077230601,59.62841854,214.9709361,4.994508789,81,female,vegan,60-69
207,vegan_female_70-79,2.679967361,4.41325856,16452.72479,14.35772087,0.147551993,0.216937207,104.0991693,361.6904648,12.99605214,1.610167247,1.925877343,9257.990254,13.16078878,0.147254739,0.106280126,65.39418269,169.0985256,7.857650147,25,female,vegan,70-79
207,vegan_male_20-29,2.679238672,4.415385597,14946.91845,16.06362331,0.125447248,0.224968348,88.29174655,374.4182158,12.53940216,1.190062581,1.618118231,8098.026178,7.17804658,0.218778684,0.132610952,39.06349196,177.9512603,5.674813263,198,male,vegan,20-29
207,vegan_male_30-39,2.505623794,4.154364927,14503.50486,13.82323518,0.113045127,0.20210694,91.33432569,332.5309011,11.54468346,0.902519528,1.315297714,8591.521663,5.97879054,0.092703856,0.075411614,46.96974798,157.0153055,4.144068479,251,male,vegan,30-39
207,vegan_male_40-49,2.4841017,4.220507684,15085.64435,12.94118827,0.112582924,0.201819979,94.12521108,352.6818142,11.38254837,0.942238733,1.435048677,9514.553905,5.35570812,0.124890293,0.082492908,61.66015789,188.772458,4.059432333,165,male,vegan,40-49
207,vegan_male_50-59,2.503631778,4.127807819,12998.30354,13.07978834,0.116143314,0.190276478,93.48958891,305.1777282,11.63793484,0.84901939,1.294965408,5261.477388,5.28819298,0.098609104,0.064697098,57.13282554,108.440252,4.328803919,62,male,vegan,50-59
207,vegan_male_60-69,2.228786825,4.176051854,16178.10434,10.77347025,0.083101809,0.192780027,90.49418413,356.903359,11.31919872,0.797745461,1.477259169,10467.06215,4.436490571,0.052556327,0.073389869,46.0285696,181.803724,3.947052196,52,male,vegan,60-69
207,vegan_male_70-79,2.500219127,4.244975411,15870.07434,12.78116378,0.123988342,0.20514748,94.8056252,340.7586767,11.62171247,1.122859503,1.538028798,6876.505211,5.750570844,0.130838929,0.068483628,38.62300202,136.3774367,5.049422246,19,male,vegan,70-79
207,veggie_female_20-29,4.534682661,6.071512475,13349.33323,21.28203758,0.759943462,0.257182805,228.4624895,454.3407554,21.40443923,1.62168104,1.998997347,5591.422757,6.967762822,0.385028369,0.089522076,110.607772,163.5145384,7.739218695,3752,female,veggie,20-29
207,veggie_female_30-39,4.547784172,6.128612887,13922.3368,20.87402009,0.752517366,0.251611699,228.1658605,447.7480283,21.99834709,1.615885321,2.011326827,5598.41717,6.89355364,0.388037058,0.085999356,110.0576964,159.9461358,7.822060407,3634,female,veggie,30-39
207,veggie_female_40-49,4.581524429,6.127974612,14273.32426,20.17144637,0.739082266,0.250214545,225.6091521,441.3753996,22.28797345,1.676350031,1.993112551,5877.327819,6.630185395,0.383775668,0.087807408,111.5930577,153.791777,8.204654557,2696,female,veggie,40-49
